student_id;var;score;sum;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2290401_1;1;3;15;0;1;1;2;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;3;0
2290402_2;2;4;21;0;1;1;2;1;1;1;0;1;0;0;2;1;1;1;0;2;1;1;3;0;1;0
2290401_3;1;3;13;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;3;2;0;0
2290402_4;2;4;26;0;1;1;2;1;1;1;1;2;1;1;0;0;1;1;0;1;1;0;3;4;1;2
2290401_5;1;4;24;0;1;1;1;1;0;1;1;0;2;1;2;0;1;1;0;1;0;0;3;4;3;0
2290402_6;2;5;36;1;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;2;1;0;3;4;3;4
2290402_7;2;4;27;0;1;1;2;0;1;1;0;1;0;0;2;1;1;1;0;2;1;1;3;4;0;4
2290402_8;2;4;21;1;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;1;3;4;0;4
2290401_9;1;4;24;0;1;0;1;1;0;1;1;0;2;1;1;1;1;1;0;1;0;0;3;3;3;2
2290401_10;1;3;16;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;3;0;1;0
2290401_11;1;3;10;0;1;0;2;0;1;0;0;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0
